CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATIVIDADE/ USO
01.11-3-01,Cultivo de arroz,Agropecuária
01.11-3-02,Cultivo de milho,Agropecuária
01.11-3-03,Cultivo de trigo,Agropecuária
01.11-3-99,Cultivo de outros cereais não especificados anteriormente,Agropecuária
01.12-1-01,Cultivo de algodão herbáceo,Agropecuária
01.12-1-02,Cultivo de juta,Agropecuária
01.12-1-99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,Agropecuária
01.13-0-00,Cultivo de cana-de-açúcar,Agropecuária
01.14-8-00,Cultivo de fumo,Agropecuária
01.15-6-00,Cultivo de soja,Agropecuária
01.16-4-01,Cultivo de amendoim,Agropecuária
01.16-4-02,Cultivo de girassol,Agropecuária
01.16-4-03,Cultivo de mamona,Agropecuária
01.16-4-99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,Agropecuária
01.19-9-01,Cultivo de abacaxi,Agropecuária
01.19-9-02,Cultivo de alho,Agropecuária
01.19-9-03,Cultivo de batata-inglesa,Agropecuária
01.19-9-04,Cultivo de cebola,Agropecuária
01.19-9-05,Cultivo de feijão,Agropecuária
01.19-9-06,Cultivo de mandioca,Agropecuária
01.19-9-07,Cultivo de melão,Agropecuária
01.19-9-08,Cultivo de melancia,Agropecuária
01.19-9-09,Cultivo de tomate rasteiro,Agropecuária
01.19-9-99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,Agropecuária
01.21-1-01,"Horticultura, exceto morango",Agropecuária
01.21-1-02,Cultivo de morango,Agropecuária
01.22-9-00,Cultivo de flores e plantas ornamentais,Agropecuária
01.31-8-00,Cultivo de laranja,Agropecuária
01.32-6-00,Cultivo de uva,Agropecuária
01.33-4-01,Cultivo de açaí,Agropecuária
01.33-4-02,Cultivo de banana,Agropecuária
01.33-4-03,Cultivo de caju,Agropecuária
01.33-4-04,"Cultivo de cítricos, exceto laranja",Agropecuária
01.33-4-05,Cultivo de coco-da-baía,Agropecuária
01.33-4-06,Cultivo de guaraná,Agropecuária
01.33-4-07,Cultivo de maçã,Agropecuária
01.33-4-08,Cultivo de mamão,Agropecuária
01.33-4-09,Cultivo de maracujá,Agropecuária
01.33-4-10,Cultivo de manga,Agropecuária
01.33-4-11,Cultivo de pêssego,Agropecuária
01.33-4-99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,Agropecuária
01.34-2-00,Cultivo de café,Agropecuária
01.35-1-00,Cultivo de cacau,Agropecuária
01.39-3-01,Cultivo de chá-da-índia,Agropecuária
01.39-3-02,Cultivo de erva-mate,Agropecuária
01.39-3-03,Cultivo de pimenta-do-reino,Agropecuária
01.39-3-04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",Agropecuária
01.39-3-05,Cultivo de dendê,Agropecuária
01.39-3-06,Cultivo de seringueira,Agropecuária
01.39-3-99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,Agropecuária
01.41-5-01,"Produção de sementes certificadas, exceto de forrageiras para pasto",Agropecuária
01.41-5-02,Produção de sementes certificadas de forrageiras para formação de pasto,Agropecuária
01.42-3-00,"Produção de mudas e outras formas de propagação vegetal, certificadas",Agropecuária
